x1,x2,y
0.450930241495371,2.30644108355045,-1
1.9077230617404,3.06413923203945,-1
8.28560741152614,-3.63554800488055,-1
3.33726585656404,3.13935235515237,-1
3.61722017358989,-0.347082117572427,1
8.48200014419854,-0.373326750472188,-1
5.1308476254344,0.581067215651274,1
-1.7649038080126,3.19859976321459,-1
-0.046947187744081,-3.66352373175323,-1
0.935048631392419,3.63602919317782,-1
7.67447179276496,1.5424272492528,-1
4.68608176521957,3.95415821298957,-1
4.86846958938986,1.6682437453419,1
3.52879229653627,0.753136163577437,1
0.469916847534478,-2.82309082150459,-1
8.55629079043865,3.21839236095548,-1
5.2884633410722,2.36373934149742,-1
-2.70463578589261,-0.177632231265306,-1
6.10151445027441,-2.26873651333153,-1
0.81817209161818,-2.1469937171787,-1
-1.28639973141253,-0.683629313483834,-1
1.96469191554934,-1.04923639260232,-1
-1.17066302709281,-2.88955149240792,-1
-0.203590806573629,-0.272300397977233,-1
0.191671684384346,2.86262172274292,-1
-2.45002599991858,-0.4623994063586,-1
6.5870981477201,-3.02480592019856,-1
3.73137580510229,-2.34774888306856,-1
-1.46962019708008,2.02646291442215,-1
7.74054430983961,-1.00429779291153,-1
4.98138233553618,-3.24127471260726,-1
1.60763565357774,-1.80493084341288,-1
6.77568046655506,-0.411869268864393,1
6.72077223658562,2.4991160761565,-1
6.53210785333067,-0.481346499174833,1
6.05370190367103,1.03376905247569,1
5.52218881621957,-3.99500181339681,-1
2.70379888918251,-2.23904891870916,-1
1.55779845267534,0.902168026193976,-1
1.22157491091639,-3.11091660521924,-1
-0.0765663273632526,1.34444469958544,1
2.01176135614514,2.30556667223573,-1
-1.76562426891178,-0.520858068019152,-1
8.81948375981301,3.14440891519189,-1
7.63762872945517,-2.59957879781723,-1
-1.43165170121938,1.22481540031731,-1
0.844478909857571,-2.49847104586661,-1
6.3875316157937,-3.25124010629952,-1
2.60134849883616,0.0920436792075634,-1
4.19986751116812,-1.33741167746484,1
2.86335640400648,3.63579061999917,-1
2.7948287660256,3.12280177697539,-1
7.97325824294239,0.869879858568311,-1
